[7l-dsk/total-
 read  writ
 410k  125k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    56k
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0    64k
   0    88k
4096B    0 
   0     0 
   0     0 
   0    84k
   0    36k
   0     0 
   0     0 
   0     0 
   0    12k
   0    28k
   0     0 
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0    76k
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    16k
   0    32k
   0     0 
   0     0 
   0     0 
   0    20k
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    72k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0    56k
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0    28k
   0    32k
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0    32k
   0     0 
   0     0 
   0    12k
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  4096B
   0     0 
   0     0 
   0    16k
   0     0 
   0    52k
   0     0 
   0     0 
   0    28k
   0     0 
   0    52k
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0    28k
   0     0 
   0     0 
   0     0 
   0    28k
   0    32k
   0     0 
   0     0 
   0     0 
   0    12k
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0    12k
   0     0 
   0    28k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    28k
   0     0 
   0     0 
   0    48k
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0    12k
   0     0 
   0     0 
   0     0 
   0    28k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    16k
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0  4096B
   0     0 
   0    24k
   0   292k
   0     0 
   0    44k
   0     0 
   0     0 
   0    48k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0    12k
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0    12k
   0     0 
   0     0 
   0     0 
   0    28k
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0   120k
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
   0  8192B
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0  4096B
   0     0 
   0    16k
   0     0 
   0     0 
   0    48k
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0    12k
   0     0 
   0     0 
   0     0 
   0    28k
   0    24k
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
