Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    3981        0        2   100.0%           59        333
    4507        0        2   100.0%           59        333
    4466        0        1   100.0%           59        333
    3973        0        0   100.0%           59        333
    4154        0        0   100.0%           59        333
    4430        0        6   100.0%           59        333
    1317        0        0   100.0%           59        333
    1807        0        0   100.0%           59        333
    1820        0        0   100.0%           59        333
    1344        0        0   100.0%           59        333
    1325        0        0   100.0%           59        333
    1842        0        0   100.0%           59        333
    1844        0        0   100.0%           59        333
    1376        0       14   100.0%           59        333
    1830        0       17   100.0%           59        333
    1317        1        0    99.9%           59        333
    1846        0        0   100.0%           59        333
    1323        0        0   100.0%           59        333
    1796        0        0   100.0%           59        333
    1341        0        7   100.0%           59        333
    1343        0        0   100.0%           59        333
    1326        0        1   100.0%           59        333
    1327        0        2   100.0%           59        333
    1350        0        2   100.0%           59        333
    1816        0        7   100.0%           59        333
    1831        0        2   100.0%           59        333
    1342        0        2   100.0%           59        333
    1822        0        2   100.0%           59        333
    1827        0        2   100.0%           59        333
    1321        1        5    99.9%           59        333
    1348        0        2   100.0%           59        333
    1829        0        2   100.0%           59        333
    1837        0        2   100.0%           59        333
    1846        0        2   100.0%           59        333
    1325        0        1   100.0%           59        333
    1818        0        1   100.0%           59        333
    1336        0        0   100.0%           59        333
    1828        0        0   100.0%           59        333
    1341        0        0   100.0%           59        333
    1318        0        0   100.0%           59        333
    1845        0        0   100.0%           59        333
    2233        0        0   100.0%           59        333
    4413        0        0   100.0%           59        333
    4454        0        0   100.0%           59        333
    4443        0        0   100.0%           59        333
    4463        0        0   100.0%           59        333
    4433        0        0   100.0%           59        333
    4480        0        0   100.0%           59        333
    4454        0        0   100.0%           59        333
    3945        0        3   100.0%           59        333
    3936        0        0   100.0%           59        333
    4119        0        0   100.0%           59        333
    3966        0        0   100.0%           59        333
    4436        0        4   100.0%           59        334
    4483        0        1   100.0%           59        334
    4434        1        9   100.0%           59        334
    4451        0        2   100.0%           59        334
    3955        0        2   100.0%           59        334
    3938        0        2   100.0%           59        334
    4451        0        2   100.0%           59        334
    4472        2        4   100.0%           59        334
    4442        0        2   100.0%           59        334
    4417        0        2   100.0%           59        334
    3990        0        2   100.0%           59        334
    4446        0        2   100.0%           59        334
    4471        0        2   100.0%           59        334
    4402        0        2   100.0%           59        334
    4452        0        5   100.0%           59        334
    3970        0        1   100.0%           59        334
    4448        0        1   100.0%           59        334
    3948        0        0   100.0%           59        334
    4057        0        0   100.0%           59        334
    1315        0        0   100.0%           59        334
    1817        0        0   100.0%           59        334
    1803        0        0   100.0%           59        334
    1317        0        0   100.0%           59        334
    1322        0        0   100.0%           59        334
    1846        0        0   100.0%           59        334
    1316        0        0   100.0%           59        334
    1302        0        0   100.0%           59        334
    1848        0        0   100.0%           59        334
    1344        0        0   100.0%           59        334
    1803        0        0   100.0%           59        334
    1823        0        0   100.0%           59        334
    1825        0        0   100.0%           59        334
    1316        0        0   100.0%           59        334
    1812        0        1   100.0%           59        334
    1314        0        1   100.0%           59        334
    1828        0        2   100.0%           59        334
    1829        0        2   100.0%           59        334
    1850        0        2   100.0%           59        334
    1324        0        2   100.0%           59        334
    1356        0        2   100.0%           59        334
    1848        0        2   100.0%           59        334
    1850        0        2   100.0%           59        334
    1834        0        2   100.0%           59        334
    1344        2        7    99.9%           59        334
    1816        0        2   100.0%           59        334
    1832        0        2   100.0%           59        334
    1328        0        2   100.0%           59        334
    1828        0        2   100.0%           59        334
    1324        0        7   100.0%           59        334
    1805        0        1   100.0%           59        334
    1820        0        0   100.0%           59        334
    1807        0        0   100.0%           59        334
    1841        0        0   100.0%           59        334
    4415        0        0   100.0%           59        334
    4418        0        3   100.0%           59        334
    4400        0        0   100.0%           59        334
    4444        0        0   100.0%           59        334
    4445        0        0   100.0%           59        334
    3949        0        3   100.0%           59        334
    4420        0        0   100.0%           59        334
    3958        0        0   100.0%           59        334
    4451        0        0   100.0%           59        334
    3938        0        0   100.0%           59        334
    3928        0        0   100.0%           59        334
    4446        0        0   100.0%           59        334
    4487        0        0   100.0%           59        334
    3924        0        1   100.0%           59        334
    3893        0        2   100.0%           59        334
    4418        0        5   100.0%           59        334
    4427        0        8   100.0%           59        334
    4423        0        2   100.0%           59        334
    4394        0        2   100.0%           59        334
    3976        0        2   100.0%           59        334
    4459        0        2   100.0%           59        334
    4460        2        4   100.0%           59        334
    3927        0        2   100.0%           59        334
    3972        0        2   100.0%           59        334
    4447        0        2   100.0%           59        334
    4453        0        2   100.0%           59        334
    1795        0        1   100.0%           59        334
