[7l-dsk/total-
 read  writ
 267k   81k
  25M    0 
  25M   96k
  25M    0 
  25M    0 
  24M    0 
  25M    0 
  25M 5276k
  24M   37M
  24M   20M
  24M   34M
  24M   13M
  25M   32M
  25M   19M
  25M   39M
  25M   37M
  25M   36M
  25M   37M
  25M   21M
  24M    0 
  25M    0 
  25M   30M
  25M   19M
  25M   31M
  25M   19M
  25M   36M
  25M   38M
  25M   36M
  25M   36M
  27M   38M
  24M 4096B
  25M    0 
  25M   19M
  25M   29M
  25M   23M
  25M   25M
  25M   24M
  25M   38M
  25M   38M
  61M   87M missed 2 ticks
  15M 4096B
  25M    0 
  25M 7200k
  28M   41M
  23M   12M
  24M   33M
  25M   15M
  25M   34M
  99M  142M missed 3 ticks
3840k 4096B
  25M   20k
  25M    0 
  24M   32M
  25M   18M
  25M   33M
  25M   17M
  26M   30M
  25M   25M
  25M   37M
  25M   36M
  25M   34M
  51M   76M missed 2 ticks
  23M 4096B
  25M    0 
  25M 7880k
  25M   28M
  25M   27M
  25M   30M
  25M   19M
  25M   37M
  35M   51M
  16M 4096B
  25M   13M
  25M   23M
3092k   34M
   0   110M missed 3 ticks
  20M   20M
  25M    0 
  26M   28k
  25M    0 
  25M    0 
  25M    0 
  25M   13M
6008k   23M
  25M 5760k
  25M   30M
  25M   26M
  25M   32M
  25M   33M
  82M  120M missed 3 ticks
  19M 4096B
  26M   20k
  25M   13M
  25M   24M
  25M   27M
  25M   31M
  11M   20M
  16M   31M
  25M   34M
  25M   37M
  25M   37M
  25M 6564k
  25M    0 
  25M 4760k
  25M   25M
  25M   26M
  25M   28M
  25M   27M
  26M   28M
  25M   32M
  25M   32M
  25M   38M
  39M   57M
  12M 4096B
  25M    0 
  26M   11M
  25M   26M
  25M   24M
  25M   25M
  25M   26M
  26M   30M
  12M   31M
4096B   34M
   0    36M
   0    37M
  15M   29M
  25M    0 
  25M   32k
  25M    0 
  25M    0 
  25M    0 
  25M 1688k
  25M   29M
  25M   26M
  25M   23M
  25M   24M
  25M   32M
2184k   31M
   0   120M missed 3 ticks
  18M 5892k
  25M   32k
  25M    0 
  25M    0 
  25M    0 
  25M    0 
  25M 4120k
  25M   31M
  25M   25M
  25M   21M
  25M   27M
  24M   32M
 102M  147M missed 4 ticks
  23M   24k
  25M    0 
  26M   20M
  24M   24M
  25M   28M
  25M   24M
5392k   28M
  22M   32M
  25M   35M
  25M   34M
  25M   35M
  25M 4096B
  25M    0 
  25M 9904k
  25M   24M
  25M   28M
  25M   23M
  25M   29M
  25M   38M
  25M   35M
  22M   35M
  28k   78M missed 2 ticks
  19M 4096B
  26M    0 
  25M   64k
  25M    0 
  25M    0 
  25M   20M
  25M   32M
  23M   30M
   0    38M
   0    37M
   0    35M
9984k   34M
  25M 7680k
  25M   32k
  25M    0 
  25M    0 
  25M    0 
  25M    0 
  15M   20M
  25M   20M
  25M   26M
  25M   26M
  25M   32M
  25M   35M
  73M  106M missed 2 ticks
3720k 4096B
  25M    0 
  25M   20k
  25M   27M
  25M   27M
  24M   28M
  25M   18M
  26M   31M
  64M   90M missed 2 ticks
  13M 4096B
  25M 6272k
  25M   28M
  25M   37M
  25M   36M
  25M   37M
  25M   36M
  25M   24M
  25M    0 
  25M  432k
  25M   28M
  25M   28M
